PRODUCTCONTEXTCODE,PRODUCTDESCRIPTION,ACC_DEFAULTDESCRIPTION,PRODUCT_NUMERICCODE,PRODUCT_ACC_PRODUCTID,ACC_ISOCURRENCYCODE,BSHEET_CRNOMINALCODE,BSHEET_DRNOMINALCODE,DRINT_FREQUENCYPERIODCODEDR,CRINT_FREQUENCYPERIODCODECR,DRINT_APPLICATIONMONTHDR,CRINT_APPLICATIONMONTHCR,DRINT_APPLICATIONDAYDR,CRINT_APPLICATIONDAYCR,HAS_STM,ACC_FEEWAIVEINDICATOR,ACC_PASSBOOKINDICATOR,ACC_MINOPENINGBALANCEAMOUNT,ACC_PEROUTERPROFILEID,HAS_ACCNOTE,HAS_PSNAME,PSNAME_PSEUDONAME,HAS_BSHEET,HAS_CHDEP,HAS_CHEQS,CHEQS_BANKCHEQUE,HAS_CCARD,CCARD_MINAMOUNTPERCENTAGE,CCARD_NUMBEROFDAYSTOPAY,CCARD_CCDESCRIPTION,HAS_CRINTEREST,CRINT_CREDITINTERESTRATE,CRINT_COSTCENTRE,CRINT_INTERESTBASEDAYSCR,CRINT_CREDITBASECODE,CRINT_CREDITINTERESTMARGIN,CRINT_FREQUENCYPERIODUNITCR,CRINT_PAYAWAYCRACCOUNT,CRINT_INTERESTMETHODCR,CRINT_NOMINALCODE,HAS_DRINTEREST,DRINT_PENALTYINTEREST,DRINT_FREQUENCYPERIODUNITDR,DRINT_NOMINALCODE,DRINT_INTERESTMETHODDR,DRINT_PAYAWAYDRACCOUNT,DRINT_COSTCENTRE,DRINT_INTERESTBASEDAYSDR,DRINT_DEBITINTERESTMARGIN,DRINT_DEBITBASECODE,DRINT_DEBITINTERESTRATE,HAS_FIX,HAS_LOAN,HAS_NOTICE,NOTICE_NOTICEPERIOD,HAS_OFFBAL,OFFBAL_OFFSETBALANCEMETHOD,HAS_OFFSET,HAS_PANDL,PANDL_RETAINEDEARNINGSACC,PANDL_COSTTYPE,PANDL_COSTCENTRECODE,PANDL_NOMINALCODE,HAS_SFRV,HAS_TAX,ACC_TAXINDICATORDR,ACC_TAXINDICATORCR,HAS_TRS,TRS_PAYAWAYTRSACCOUNT,TRS_RELIEFPERCENTAGE,TRS_PAYGROSSREPAYMENT,TRS_ANNUALCEILING,HAS_LIM,LIM_LIMITINDICATOR,LIM_LIMITEXCESSACTION,LIM_DEBITLIMIT,LIM_CREDITLIMIT,LIM_LIMITREF1,LIM_LIMITREF2,LIM_LIMITREF3,LIM_LIMITREF4,LIM_LIMITREF5,HAS_DRAWER,BSHEET_CRCOSTTYPE,BSHEET_DRCOSTTYPE,BSHEET_DRCOSTCENTRECODE,BSHEET_CRCOSTCENTRECODE,VERSIONNUM,HAS_BLOCKING,HAS_AVAILBAL,HAS_STATISTICS,HAS_MOVHIS,CRINT_INTERESTRATECAP,CRINT_INTERESTRATECOLLAR,DRINT_INTERESTRATECAP,DRINT_INTERESTRATECOLLAR,DORMANCYMETHOD,DORMANCYPERIOD,NUMBEROFPERIODS,CREDITROUNDINGMETHOD,CREDITMULTIPLEOFCONSTANT,DEBITROUNDINGMETHOD,DEBITMULTIPLEOFCONSTANT,ACCSTMTCFGID,UBDELINQUENCYPROFILEID,ISALLTRANSCODEALLOWED,UBINTSTMTPRFID,UBLASTCRINTMODDTTM,UBLASTDRINTMODDTTM,UBLIMITPERIOD,UBLIMITFREQ,UBLIMITREVIEWPERIOD,UBLIMITREVIEWFREQ,UBLASTMODIFIEDBY,UBLASTAPPROVEDBY,UBGENEXCPRPTFLAG,UBPENALTYINTPRFID,UBPENALTYINTCAP,UBPENALINTCOLLAR,UBCOMMITMENTENFORCELEVEL,UBCOMMITMENTFLAG,UBACCOUNTSTATUS,UBISSUPERVISRAPPRREQD,UBCREDITRATEBASIS,UBDEBITRATEBASIS,UBINTACCRUALMETHODCR,UBINTACCRUALMETHODDR,UBCRAMTTENORRATEID,UBMINDEBITINTERESTAMT,UBMINPENALTYINTAMT,UBMAXAMOUNTPERPRODUCT,UBINTERESTPERIODBASIS,UBINTERESTPAYOUT,UBMINTENORFREQUNIT,UBMINTENORFREQ,UBMAXTENORFREQUNIT,UBMAXTENORFREQ,UBSUBPRODUCTID,UBSEGMENTCLASSIFICATION,UBDOCCHECKLISTDEFID,UBISRECONCILABLE,UBGLTYPE,UBLIMITTYPE,UBOFFBALLIMIT_ACCORPSEUDONYM,UBOFFBALCONTRA_ACCORPSEUDONYM,UBSIGNIFICANTEXCESSAMOUNT,UBISALLOWLIMIT,UBDORMANCYTHRESHOLDAMOUNT,UBDORMANCYBASIS,UBINSTLMNTDAY,UBINSTLMNTMONTH,UBMODULEID,UBISCUSTMARGINENABLED,UBCUSTOMERTYPE,UBPRODUCTSTATUS,UBPRODUCTSTARTDT,UBPRODUCTENDDT,UBPRODUCTREVIEWDT,UBINACTIVEPERIOD,UBCATEGORY,UBVALIDATELIMITINFUSIONRISK
02060DEFAULTUSD,Super Savings Sweep Account - USD,Super Savings Sweep Account - USD,0,savings,USD,BSL0010,BSL0010,,M,0,0,0,31,Y,N,Y,0,0,Y,N,False,Y,Y,Y,N,N,0,0,,Y,0,,360,130201,0,0,,0,POC02060,N,0,0,,0,,,0,0,,0,N,N,N,0,N,,N,N,,,,,Y,N,,,N,,0,0,0,Y,2,1,0,0,,,,,,N,,,,,0,Y,Y,N,Y,99,0,99,0,1,D,180,0,0,0,0,ACCSTMTCONFIG1,,Y,INTSTMTCONFIG1,25569,25569,20,Y,2,Y,,,Y,,100,0,,N,2,N,0,1,0,0,,0,0,0,,,0,,0,,2060,DEFAULT,,N,LIABILITY,,,,0,Y,0,TENOR,,,SA,N,BOTH,ACTIVE,01-01-2000,,,90,,N
01010DEFAULTUSD,Regular Current Account - Individual - USD,Regular Current Account - Individual - USD,0,currentacc,USD,BSL0000,BSA200,M,M,0,0,31,31,Y,N,N,0,0,Y,N,False,Y,Y,Y,N,N,0,0,,Y,0,,360,120201,0,0,,0,POC01010,Y,0,0,POD01010,0,,,360,0,120101,0,N,N,N,0,N,,N,N,,,,,Y,N,,,N,,0,0,0,Y,1,1,0,0,,,,,,N,,,,,0,Y,Y,N,Y,99,0,99,0,1,D,180,0,0,0,0,ACCSTMTCONFIG1,1,Y,INTSTMTCONFIG1,25569,25569,20,Y,2,Y,,,Y,6,100,0,,N,2,N,0,0,0,0,,0,0,0,,,0,,0,,1010,DEFAULT,,N,SWING,,,,0,Y,0,TENOR,,,CA,N,BOTH,ACTIVE,01-01-2000,,,90,,N
